entrez_id,symbol,description
10000,AKT3,AKT serine/threonine kinase 3
10018,BCL2L11,BCL2 like 11
100533105,C8orf44-SGK3,C8orf44-SGK3 readthrough
10110,SGK2,serum/glucocorticoid regulated kinase 2
10161,LPAR6,lysophosphatidic acid receptor 6
1017,CDK2,cyclin dependent kinase 2
1019,CDK4,cyclin dependent kinase 4
1021,CDK6,cyclin dependent kinase 6
1026,CDKN1A,cyclin dependent kinase inhibitor 1A
1027,CDKN1B,cyclin dependent kinase inhibitor 1B
102723407,IGH,immunoglobulin heavy variable 4-38-2-like
10319,LAMC3,laminin subunit gamma 3
10488,CREB3,cAMP responsive element binding protein 3
10681,GNB5,G protein subunit beta 5
10971,YWHAQ,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta
1101,CHAD,chondroadherin
110117499,P3R3URF-PIK3R3,P3R3URF-PIK3R3 readthrough
11140,CDC37,"cell division cycle 37, HSP90 cochaperone"
1128,CHRM1,cholinergic receptor muscarinic 1
1129,CHRM2,cholinergic receptor muscarinic 2
1147,CHUK,component of inhibitor of nuclear factor kappa B kinase complex
117145,THEM4,thioesterase superfamily member 4
118788,PIK3AP1,phosphoinositide-3-kinase adaptor protein 1
125467750,EFNA4-EFNA3,EFNA4-EFNA3 readthrough
1277,COL1A1,collagen type I alpha 1 chain
1278,COL1A2,collagen type I alpha 2 chain
1280,COL2A1,collagen type II alpha 1 chain
1282,COL4A1,collagen type IV alpha 1 chain
1284,COL4A2,collagen type IV alpha 2 chain
1285,COL4A3,collagen type IV alpha 3 chain
1286,COL4A4,collagen type IV alpha 4 chain
1287,COL4A5,collagen type IV alpha 5 chain
1288,COL4A6,collagen type IV alpha 6 chain
1291,COL6A1,collagen type VI alpha 1 chain
1292,COL6A2,collagen type VI alpha 2 chain
1293,COL6A3,collagen type VI alpha 3 chain
1297,COL9A1,collagen type IX alpha 1 chain
1298,COL9A2,collagen type IX alpha 2 chain
1299,COL9A3,collagen type IX alpha 3 chain
1311,COMP,cartilage oligomeric matrix protein
131873,COL6A6,collagen type VI alpha 6 chain
1385,CREB1,cAMP responsive element binding protein 1
1386,ATF2,activating transcription factor 2
1388,ATF6B,activating transcription factor 6 beta
1435,CSF1,colony stimulating factor 1
1436,CSF1R,colony stimulating factor 1 receptor
1440,CSF3,colony stimulating factor 3
1441,CSF3R,colony stimulating factor 3 receptor
1442,CSH1,chorionic somatomammotropin hormone 1
1443,CSH2,chorionic somatomammotropin hormone 2
1444,CSHL1,chorionic somatomammotropin hormone like 1
146850,PIK3R6,phosphoinositide-3-kinase regulatory subunit 6
148327,CREB3L4,cAMP responsive element binding protein 3 like 4
1902,LPAR1,lysophosphatidic acid receptor 1
1942,EFNA1,ephrin A1
1943,EFNA2,ephrin A2
1944,EFNA3,ephrin A3
1945,EFNA4,ephrin A4
1946,EFNA5,ephrin A5
1950,EGF,epidermal growth factor
1956,EGFR,epidermal growth factor receptor
1969,EPHA2,EPH receptor A2
1975,EIF4B,eukaryotic translation initiation factor 4B
1977,EIF4E,eukaryotic translation initiation factor 4E
1978,EIF4EBP1,eukaryotic translation initiation factor 4E binding protein 1
200186,CRTC2,CREB regulated transcription coactivator 2
2056,EPO,erythropoietin
2057,EPOR,erythropoietin receptor
2064,ERBB2,erb-b2 receptor tyrosine kinase 2
2065,ERBB3,erb-b2 receptor tyrosine kinase 3
2066,ERBB4,erb-b2 receptor tyrosine kinase 4
2069,EREG,epiregulin
207,AKT1,AKT serine/threonine kinase 1
208,AKT2,AKT serine/threonine kinase 2
2149,F2R,coagulation factor II thrombin receptor
2246,FGF1,fibroblast growth factor 1
2247,FGF2,fibroblast growth factor 2
